Id,center_x,center_y
0,114.2568998,30.41522721
1,114.2575208,30.41655667
2,114.2580922,30.41872772
3,114.2519167,30.42157757
4,114.2521894,30.42474308
5,114.2591755,30.42738446
6,114.2580831,30.4280801
7,114.2579354,30.4296839
8,114.2496934,30.42972333
9,114.2598546,30.43074021
10,114.260548,30.43011512
11,114.2432108,30.43086281
12,114.2579679,30.43173509
13,114.2510561,30.4285633
14,114.2629941,30.42970203
15,114.2593063,30.43258049
16,114.2482209,30.42386083
17,114.2537081,30.42921201
18,114.2491682,30.43124826
19,114.1964308,30.43279019
20,114.2033388,30.42884925
21,114.2565897,30.43299272
22,114.1966144,30.43507445
23,114.2519246,30.4346629
24,114.2493829,30.43543085
25,114.2627564,30.43489754
26,114.2591447,30.43511409
27,114.1962775,30.43628128
28,114.2180499,30.42916865
29,114.2546413,30.43640069
30,114.2645812,30.43829242
31,114.3130649,30.43848844
32,114.2603962,30.43961235
33,114.3103296,30.44022138
34,114.2596333,30.44045533
35,114.2630752,30.4398336
36,114.3128199,30.44000564
37,114.3096329,30.44124182
38,114.2513179,30.43902875
39,114.2134182,30.4346526
40,114.2538991,30.44085186
41,114.2655961,30.44017307
42,114.2600469,30.43897214
43,114.3126957,30.4410439
44,114.2578876,30.44293219
45,114.225589,30.43964819
46,114.268772,30.44305225
47,114.1976866,30.43740928
48,114.3070809,30.44256386
49,114.3131872,30.44216281
50,114.263994,30.4425856
51,114.2581079,30.44395923
52,114.2596573,30.44275968
53,114.2692413,30.4444156
54,114.220618,30.44274357
55,114.2284402,30.44246605
56,114.2035592,30.44293558
57,114.2645751,30.44506006
58,114.2227081,30.44628813
59,114.2604001,30.44566006
60,114.2587613,30.44571014
61,114.2311344,30.44494644
62,114.3057259,30.44628427
63,114.3079022,30.44419466
64,114.3088333,30.44494562
65,114.3106255,30.44483761
66,114.221484,30.44755878
67,114.2299987,30.44683687
68,114.2667278,30.44726118
69,114.223699,30.44731783
70,114.2172878,30.44616654
71,114.2643288,30.44866808
72,114.2660497,30.44862195
73,114.2637532,30.44726704
74,114.2604044,30.44798593
75,114.2688979,30.44707773
76,114.3140766,30.44901297
77,114.2634144,30.44973337
78,114.2619244,30.44972433
79,114.2607023,30.44981243
80,114.309148,30.44846743
81,114.2633278,30.45056049
82,114.2614909,30.45055823
83,114.2260072,30.44865641
84,114.2652839,30.4505743
85,114.2647704,30.4495104
86,114.2634115,30.45140304
87,114.2559355,30.45023429
88,114.2619546,30.4517063
89,114.2642857,30.45244729
90,114.3139654,30.45096025
91,114.3106088,30.45228121
92,114.2140526,30.44957923
93,114.2345017,30.45196998
94,114.2663684,30.45078473
95,114.2647754,30.45344577
96,114.2629792,30.45323375
97,114.351652,30.4516719
98,114.2318748,30.45253717
99,114.3092333,30.45373788
100,114.2633001,30.45429096
101,114.2637259,30.45432426
102,114.2576796,30.44663805
103,114.2656709,30.45499939
104,114.2302736,30.45228144
105,114.3020535,30.45558464
106,114.3141696,30.45548695
107,114.2371756,30.45466917
108,114.2549592,30.45639825
109,114.2654737,30.45634836
110,114.2983069,30.45593644
111,114.3155686,30.45742766
112,114.330929,30.45536245
113,114.3126884,30.45740109
114,114.2337173,30.4566001
115,114.2365988,30.43771575
116,114.3103215,30.45591516
117,114.2399488,30.45749355
118,114.2598034,30.45853861
119,114.3157591,30.45934977
120,114.2383769,30.45295613
121,114.2983943,30.45867629
122,114.268244,30.45957321
123,114.2548207,30.45942827
124,114.3015004,30.45841151
125,114.2611269,30.45953434
126,114.3087292,30.45930445
127,114.2639637,30.45821143
128,114.2516693,30.458767
129,114.2556353,30.46043415
130,114.2589448,30.45736437
131,114.236015,30.45952113
132,114.2650771,30.46174987
133,114.2525307,30.46120182
134,114.2565442,30.46167116
135,114.2427577,30.46037972
136,114.2917151,30.46041068
137,114.2835896,30.46138067
138,114.2720073,30.46230626
139,114.3041266,30.46205159
140,114.2704767,30.46198244
141,114.2534518,30.46289749
142,114.2757749,30.46373973
143,114.2499587,30.46225698
144,114.3398905,30.4637419
145,114.2612685,30.46258093
146,114.5873999,30.46376331
147,114.2809372,30.46269506
148,114.256868,30.46569604
149,114.3538953,30.46532669
150,114.2556938,30.46468351
151,114.2602442,30.46533165
152,114.3297487,30.46587869
153,114.2717637,30.46521714
154,114.5990747,30.46323421
155,114.2586765,30.4669083
156,114.2668842,30.46634266
157,114.2569395,30.46711639
158,114.2466089,30.46430901
159,114.3061398,30.46558296
160,114.326582,30.46781517
161,114.2622621,30.46749551
162,114.4832309,30.4660671
163,114.4783606,30.46724705
164,114.5946925,30.466105
165,114.258376,30.46862405
166,114.6109425,30.46324072
167,114.2448402,30.46924561
168,114.249617,30.46810116
169,114.3098389,30.46901119
170,114.2400015,30.46558332
171,114.4818299,30.47013766
172,114.3167571,30.46975389
173,114.5883218,30.46788556
174,114.2737251,30.47051042
175,114.2702624,30.4685056
176,114.3112777,30.4705897
177,114.3092254,30.47163016
178,114.2799476,30.47027663
179,114.2772268,30.47058168
180,114.3360284,30.46817107
181,114.2847604,30.46917098
182,114.3173596,30.47162352
183,114.3051096,30.4712247
184,114.3180273,30.47279665
185,114.3014509,30.47250005
186,114.2742295,30.47214049
187,114.348852,30.46891075
188,114.3118136,30.47266029
189,114.3093656,30.47278201
190,114.3399171,30.47261115
191,114.4837313,30.47170869
192,114.2515164,30.4730973
193,114.5991247,30.47292657
194,114.2709146,30.47256478
195,114.3159167,30.47339413
196,114.3089579,30.47409485
197,114.2748601,30.46886212
198,114.2805421,30.47489464
199,114.2786256,30.47365809
200,114.2834403,30.47395993
201,114.2864468,30.47410022
202,114.3009148,30.47464361
203,114.3468889,30.47473667
204,114.3534991,30.47425003
205,114.3578711,30.4735779
206,114.3984583,30.47371171
207,114.4018114,30.47386872
208,114.3607516,30.47088704
209,114.27504,30.47440738
210,114.3328638,30.47340835
211,114.2723995,30.47529785
212,114.3168397,30.47596697
213,114.3111551,30.47540405
214,114.3402114,30.47532023
215,114.2979601,30.46786046
216,114.335457,30.47454726
217,114.484768,30.47592666
218,114.3273358,30.47219132
219,114.4782726,30.47601086
220,114.2863262,30.47696595
221,114.5990301,30.47625101
222,114.5944574,30.47664718
223,114.5900387,30.47708412
224,114.5872134,30.47728683
225,114.3552472,30.47735588
226,114.3524841,30.47733447
227,114.5061487,30.47713909
228,114.2761101,30.47708288
229,114.5036852,30.47705876
230,114.2738523,30.47758649
231,114.2605617,30.47585876
232,114.4000722,30.47704917
233,114.2684427,30.47553292
234,114.357031,30.477462
235,114.3612111,30.47722336
236,114.3050524,30.47870075
237,114.3298205,30.47709493
238,114.2797245,30.47792368
239,114.2843206,30.47836609
240,114.291284,30.47802587
241,114.2766051,30.47915017
242,114.4069421,30.47873825
243,114.2742999,30.4790842
244,114.2629954,30.47748014
245,114.3228097,30.47584577
246,114.4006828,30.47867886
247,114.3142916,30.47879757
248,114.3106063,30.48049816
249,114.3070137,30.47961344
250,114.408706,30.47855364
251,114.4048445,30.47878635
252,114.2495594,30.47662821
253,114.2655165,30.47926484
254,114.5988952,30.48019421
255,114.5900191,30.48027826
256,114.3410065,30.47818599
257,114.5942469,30.48025323
258,114.4025045,30.48060759
259,114.3492522,30.4814598
260,114.343822,30.47979704
261,114.284782,30.48125211
262,114.2892675,30.48129032
263,114.2919284,30.48101505
264,114.2764277,30.48123959
265,114.2579598,30.47972758
266,114.2713058,30.47986249
267,114.3365254,30.48178288
268,114.2304119,30.46063834
269,114.2541435,30.4801495
270,114.3428679,30.48164569
271,114.4828642,30.47998923
272,114.305197,30.48155317
273,114.5052137,30.48100464
274,114.500109,30.48095065
275,114.3065216,30.48085286
276,114.4915027,30.48037389
277,114.4955545,30.48108993
278,114.267643,30.48166009
279,114.2945609,30.48125782
280,114.357021,30.48065445
281,114.2730279,30.48224353
282,114.2539263,30.48173454
283,114.3268635,30.48169065
284,114.3160074,30.48249398
285,114.260284,30.48217118
286,114.2891742,30.48343904
287,114.4079439,30.48289065
288,114.2833767,30.48354223
289,114.3095777,30.48249001
290,114.279877,30.48254135
291,114.3014474,30.46831709
292,114.2920474,30.4832661
293,114.3284192,30.48432768
294,114.5101587,30.48426552
295,114.2519221,30.48345379
296,114.3030486,30.47848946
297,114.2764363,30.48398126
298,114.256679,30.48430171
299,114.40132,30.48414007
300,114.3963236,30.484159
301,114.390847,30.48505806
302,114.2919179,30.48576953
303,114.4787665,30.4842239
304,114.4993117,30.48473606
305,114.3317195,30.48475363
306,114.2946433,30.48472559
307,114.408413,30.48576411
308,114.3255696,30.48529599
309,114.3244013,30.48667129
310,114.512971,30.4854024
311,114.5101961,30.48639804
312,114.5036121,30.48554344
313,114.2544463,30.48581914
314,114.5060182,30.48538155
315,114.5086923,30.48545189
316,114.5008535,30.48615438
317,114.4950811,30.4855065
318,114.2634272,30.48449863
319,114.3022172,30.48629949
320,114.5942755,30.48468495
321,114.2931277,30.4859533
322,114.2852346,30.4856554
323,114.290016,30.48667258
324,114.2717676,30.48664093
325,114.4949086,30.48813295
326,114.5052687,30.48814081
327,114.4661067,30.48715938
328,114.2591518,30.48684734
