Id,center_x,center_y,Clusters_2,Clusters_3,Clusters_4,Clusters_5
97,114.351652,30.4516719,0.0,0.0,0.0,0.0
98,114.2318748,30.45253717,0.0,0.0,0.0,0.0
99,114.3092333,30.45373788,0.0,0.0,0.0,0.0
100,114.2633001,30.45429096,0.0,2.0,1.0,1.0
101,114.2637259,30.45432426,,,,
102,114.2576796,30.44663805,0.0,0.0,0.0,0.0
103,114.2656709,30.45499939,0.0,0.0,0.0,0.0
104,114.2302736,30.45228144,0.0,0.0,0.0,0.0
105,114.3020535,30.45558464,0.0,2.0,1.0,3.0
106,114.3141696,30.45548695,1.0,1.0,1.0,4.0
107,114.2371756,30.45466917,1.0,1.0,3.0,4.0
108,114.2549592,30.45639825,0.0,2.0,1.0,1.0
109,114.2654737,30.45634836,0.0,0.0,0.0,0.0
110,114.2983069,30.45593644,0.0,2.0,1.0,3.0
111,114.3155686,30.45742766,1.0,1.0,1.0,4.0
112,114.330929,30.45536245,0.0,0.0,0.0,0.0
113,114.3126884,30.45740109,1.0,1.0,1.0,4.0
114,114.2337173,30.4566001,0.0,2.0,1.0,1.0
115,114.2365988,30.43771575,0.0,0.0,0.0,0.0
116,114.3103215,30.45591516,0.0,2.0,1.0,0.0
117,114.2399488,30.45749355,0.0,2.0,1.0,1.0
118,114.2598034,30.45853861,0.0,0.0,0.0,0.0
119,114.3157591,30.45934977,1.0,1.0,3.0,4.0
120,114.2383769,30.45295613,0.0,2.0,1.0,2.0
121,114.2983943,30.45867629,0.0,2.0,1.0,3.0
122,114.268244,30.45957321,0.0,0.0,0.0,0.0
123,114.2548207,30.45942827,0.0,0.0,1.0,0.0
124,114.3015004,30.45841151,0.0,2.0,1.0,3.0
125,114.2611269,30.45953434,0.0,2.0,2.0,2.0
126,114.3087292,30.45930445,1.0,1.0,1.0,4.0
127,114.2639637,30.45821143,0.0,2.0,1.0,0.0
128,114.2516693,30.458767,1.0,1.0,3.0,4.0
129,114.2556353,30.46043415,0.0,2.0,1.0,0.0
130,114.2589448,30.45736437,0.0,0.0,0.0,0.0
131,114.236015,30.45952113,0.0,0.0,0.0,0.0
132,114.2650771,30.46174987,0.0,2.0,1.0,1.0
133,114.2525307,30.46120182,0.0,0.0,0.0,0.0
134,114.2565442,30.46167116,0.0,0.0,0.0,0.0
135,114.2427577,30.46037972,1.0,2.0,1.0,0.0
136,114.2917151,30.46041068,0.0,0.0,0.0,0.0
137,114.2835896,30.46138067,0.0,0.0,0.0,0.0
138,114.2720073,30.46230626,0.0,0.0,0.0,0.0
139,114.3041266,30.46205159,0.0,2.0,1.0,3.0
140,114.2704767,30.46198244,0.0,0.0,0.0,0.0
